person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,debt_to_income,age_group,loan_amnt_group
21,9600,5.0,B,1000,11.14,0,0.1,0,2,0,0,1,0,0,1,0,0,0,0,0.10416666666666667,青年,低
25,9600,1.0,C,5500,12.87,1,0.57,0,3,1,0,0,0,0,0,0,1,0,0,0.5729166666666666,青年,低
21,9900,2.0,A,2500,7.14,1,0.25,0,2,0,0,1,0,0,0,0,0,0,1,0.25252525252525254,青年,低
21,10000,6.0,D,1600,14.74,1,0.16,0,3,0,0,1,0,0,0,0,0,0,1,0.16,青年,低
21,10000,2.0,A,4500,8.63,1,0.45,0,2,0,0,1,0,0,0,1,0,0,0,0.45,青年,低
24,10800,8.0,B,1750,10.99,1,0.16,0,2,1,0,0,0,0,1,0,0,0,0,0.16203703703703703,青年,低
24,10980,0.0,A,1500,7.29,0,0.14,0,3,0,0,1,0,0,0,0,0,1,0,0.1366120218579235,青年,低
21,11000,3.0,E,4575,17.74,1,0.42,1,3,1,0,0,0,0,0,0,0,0,1,0.4159090909090909,青年,低
23,11000,0.0,A,1400,9.32,0,0.13,0,3,0,0,1,0,0,0,0,0,1,0,0.12727272727272726,青年,低
21,11389,5.0,C,4000,12.84,1,0.35,1,2,0,1,0,0,0,1,0,0,0,0,0.3512160856967249,青年,低
21,11520,5.0,B,2000,11.12,1,0.17,0,3,0,0,1,0,0,0,0,1,0,0,0.1736111111111111,青年,低
21,12000,5.0,A,2500,7.51,1,0.21,0,4,0,0,1,0,0,1,0,0,0,0,0.20833333333333334,青年,低
24,12000,4.0,B,2500,12.69,1,0.21,0,3,0,0,1,0,0,0,0,0,0,1,0.20833333333333334,青年,低
24,12000,2.0,E,1750,17.009455164585695,0,0.15,1,3,0,0,1,0,0,0,0,0,0,1,0.14583333333333334,青年,低
22,12000,7.0,D,1500,14.84,0,0.13,1,3,1,0,0,0,0,1,0,0,0,0,0.125,青年,低
25,12000,0.0,C,3000,13.46354152367879,1,0.25,0,3,0,0,1,0,0,0,0,1,0,0,0.25,青年,低
21,12000,6.0,C,3000,13.61,1,0.25,1,3,0,0,1,0,0,1,0,0,0,0,0.25,青年,低
26,12000,2.0,A,6100,7.51,1,0.51,0,3,0,0,1,0,0,1,0,0,0,0,0.5083333333333333,青年,低
21,12000,0.0,C,4200,13.48,1,0.35,1,4,0,0,1,0,0,0,0,0,1,0,0.35,青年,低
22,12000,6.0,A,4750,7.14,1,0.4,0,2,0,0,1,0,1,0,0,0,0,0,0.3958333333333333,青年,低
26,12000,0.0,A,2700,7.327650910579088,1,0.23,0,4,0,0,1,0,1,0,0,0,0,0,0.225,青年,低
21,12000,5.0,E,3250,15.68,1,0.27,1,3,1,0,0,0,1,0,0,0,0,0,0.2708333333333333,青年,低
24,12360,2.0,C,1600,13.57,0,0.13,0,3,0,0,1,0,0,0,0,1,0,0,0.12944983818770225,青年,低
22,12600,4.0,A,2000,5.42,1,0.16,0,4,1,0,0,0,0,0,0,0,1,0,0.15873015873015872,青年,低
25,12600,3.0,C,1750,13.61,0,0.14,0,3,0,0,1,0,0,0,0,0,1,0,0.1388888888888889,青年,低
25,12816,0.0,C,3000,12.87,1,0.23,1,4,0,0,1,0,1,0,0,0,0,0,0.2340823970037453,青年,低
